"item_region","items_count"
"1",12918
"10",7833
"11",18491
"12",89
"13",4509
"14",10163
"15",26984
"16",2880
"17",7384
"18",21737
"19",18045
"2",259
"20",8227
"21",19253
"22",7636
"23",4922
"24",3754
"25",39008
"26",38994
"27",3320
"28",73480
"29",2997
"3",1789
"30",3930
"31",78334
"32",6311
"33",14042
"34",139
"35",7978
"36",8210
"37",4790
"38",715
"39",61693
"4",9704
"40",15056
"41",18049
"42",13519
"43",910
"44",2613
"45",6164
"46",14312
"47",2853
"48",12275
"49",28283
"5",6378
"50",8349
"51",2643
"52",7674
"53",9987
"54",3850
"55",11813
"56",12405
"57",6636
"58",4341
"59",4021
"6",3168
"60",1511
"61",461
"62",28399
"63",6953
"64",6530
"65",4284
"66",45
"67",10219
"68",863
"69",9523
"7",12000
"70",4611
"71",11266
"72",51
"73",5599
"74",4083
"75",109482
"76",790
"78",8041
"79",20182
"8",3147
"80",5202
"81",18617
"82",25254
"83",3558
"84",248
"85",4045
"9",27610
